taxon_level,taxon_id,taxon_name,change_class,change_class_avilist,change_class_id,change_class_desc,change_class_avilist_id,change_class_avilist_desc
sp,u74,Southern Fulmar,,,,,,
sp,80,Cape Petrel,,,,,,
ssp,u80a,Northern Cape Petrel,,,,,,
ssp,u80b,Southern Cape Petrel,,,,,,
sp,u81,Blue Petrel,,,,,,
sp,u82,Broad-billed Prion,,,,,,
sp,u941,Salvin's Prion,1a,,1a,Species split - allopatric,,
sp,u84,Antarctic Prion,,,,,,
sp,u942,Slender-billed Prion,,,,,,
sp,83,Fairy Prion,4c,,4c,Subspecies lump - indeterminate/unknown,,
ssp,u83a,Northern Fairy Prion,,3c,,,3c,Subspecies split - indeterminate/unknown
ssp,u83b,Southern Fairy Prion,,3c,,,3c,Subspecies split - indeterminate/unknown
sp,947,Fulmar Prion,,,,,,
ssp,u947,Southern Fulmar Prion,,,,,,
sp,u935,Kerguelen Petrel,,,,,,
sp,78,Gould's Petrel,,,,,,
ssp,u78a,New Caledonian Gould's Petrel,,2a,,,2a,Species lump - allopatric
ssp,u78b,Australian Gould's Petrel,,2a,,,2a,Species lump - allopatric
sp,u5007,Pycroft's Petrel,,,,,,
sp,u955,Black-winged Petrel,,,,,,
sp,u971,Providence Petrel,,,,,,
sp,922,Kermadec Petrel,,,,,,
ssp,u922,Western Kermadec Petrel,,,,,,
sp,u921,Herald Petrel,,,,,,
sp,u919,Mottled Petrel,,,,,,
sp,774,White-necked Petrel,,,,,,
ssp,u774a,White-necked Petrel (subspecies),5b,,5b,Non-taxonomic change - common name ,,
sp,u76,Soft-plumaged Petrel,,,,,,
sp,u77,White-headed Petrel,,,,,,
sp,u75,Great-winged Petrel,,,,,,
sp,u8681,Grey-faced Petrel,,,,,,
sp,u73,Grey Petrel,,,,,,
sp,u915,White-chinned Petrel,,,,,,
sp,u916,Westland Petrel,,,,,,
sp,u917,Black Petrel,,,,,,
sp,u69,Wedge-tailed Shearwater,5c,4a,5c,Non-taxonomic change - taxon_id,4a,Subspecies lump - allopatric
sp,u975,Buller's Shearwater,,,,,,
sp,u71,Short-tailed Shearwater,,,,,,
sp,u70,Sooty Shearwater,,,,,,
sp,u72,Flesh-footed Shearwater,,,,,,
sp,u853,Streaked Shearwater,,,,,,
sp,u68,Fluttering Shearwater,,,,,,
sp,u913,Hutton's Shearwater,,,,,,
sp,u5069,Subantarctic Shearwater,,,,,,
sp,67,Little Shearwater,,,,,,
ssp,u67a,Tasman Little Shearwater,,,,,,
ssp,u67b,Western Australian Little Shearwater,5c,,5c,Non-taxonomic change - taxon_id,,
sp,920,Tahiti Petrel,,,,,,
ssp,u920a,Pacific Tahiti Petrel,,,,,,
ssp,u920b,New Caledonian Tahiti Petrel,,,,,,
sp,u776,Bulwer's Petrel,,,,,,
sp,u910,South Georgia Diving-Petrel,6a,2a,6a,New listing - species,2a,Species lump - allopatric
ssp,u910a,South Georgian Diving-Petrel,,2a,,,2a,Species lump - allopatric
ssp,u910b,Whenua Hou Diving-Petrel,,2a,,,2a,Species lump - allopatric
sp,85,Common Diving-Petrel,,,,,,
ssp,u85a,Subantarctic Diving-Petrel,5b,,5b,Non-taxonomic change - common name ,,
ssp,u85b,Australasian Common Diving-Petrel,,,,,,
sp,183,Black-necked Stork,,,,,,
ssp,u183,Torresian Black-necked Stork,,,,,,
sp,u182,Yellow-billed Spoonbill,,,,,,
sp,u181,Royal Spoonbill,,,,,,
sp,179,Australian White Ibis,5c,,5c,Non-taxonomic change - taxon_id,,
ssp,u179,Australian White Ibis (nominate subspecies),3c,,3c,Subspecies split - indeterminate/unknown,,
sp,u180,Straw-necked Ibis,,,,,,
sp,u178,Glossy Ibis,,,,,,
sp,u197,Australasian Bittern,,,,,,
sp,u195,Australian Little Bittern,,,,,,
sp,196,Black Bittern,,,,,,
ssp,u196a,Torresian Black Bittern,,,,,,
sp,192,Nankeen Night-Heron,,,,,,
ssp,u192,Torresian Nankeen Night-Heron,,,,,,
sp,193,Little Heron,,1a,,,1a,Species split - allopatric
ssp,u193a,Eastern Little Heron,3a,4b,3a,Subspecies split - allopatric,4b,Subspecies lump - parapatric
ssp,u193b,Western Little Heron,3a,4b,3a,Subspecies split - allopatric,4b,Subspecies lump - parapatric
sp,u977,Eastern Cattle Egret,5a,1a,5a,Non-taxonomic change - scientific name ,1a,Species split - allopatric
sp,u189,White-necked Heron,,,,,,
sp,u184,Great-billed Heron,,,,,,
sp,187,Great Egret,,,,,,
ssp,u187,Eastern Great Egret,,,,,,
sp,u186,Plumed Egret,1a,,1a,Species split - allopatric,,
sp,u190,Pied Heron,,,,,,
sp,u188,White-faced Heron,,1a,,,1a,Species split - allopatric
